singer_name,singer_uri,song_name,song_uri,lyrics
Even when I'm gettin' brain, you'll never catch me with a thot
就算我正在咬 也不会让你看见我和女人在一起
（就算看着我大脑 你都跟不上我的想法）
Lackin' with it, ""he ain't spittin' like this on his last shit""
在那说什么“上次那玩意他可没这么唱”
Ho, you better go back and listen
Sb 回去再听听吧
You know me better, thinkin' I'll slow or let up
你多了解我啊 还说我肯定要放慢脚步
Call it trap 'cause it's a total setup
我这歌是trap 就是我设置好的陷阱
Hopin' that you rappers fall in that
等着你们这些歌手掉进去
Dre said, ""Hold your head up!""—Kathy Griffin
Dre说“把头抬好了！”Kathy Griffin把川普的头抬好
Stackin' ammunition, slap the clip in, cock it back on competition
备好子弹 弹夹上膛 射翻所有对手
This is how I shot ahead (pew)—Gabby Giffords
所以我才能一夜爆红 像Gabby Giffords被爆了头
My attack is vicious, Jack the Ripper, back in business
我的攻击无比恶毒 开膛手杰克重新开张
Tyler create nothin', I see why you called yourself a (faggot), bitch
Tyler这个""创造者""可什么都生不了 所以你会自称（基佬） 你个垃圾
It's not just 'cause you lack attention
不仅仅是因为你没人关注
It's because you worship D12's balls, you're sack-religious
还因为你们到处都模仿D12的胆大 你就是亵渎
If you're gonna critique me
想要批评我
You better at least be as good or better
至少得比我强吧
Get Earl the Hooded Sweater
去找你们的大佬Earl Hooded Sweater帮你写点词吧
Whatever his name is to help you put together
他比我厉害？我都记不住他叫啥
Some words, more than just two letters
可别光会写OF这两个字母啊
The fans waited for this moment like that feature
我粉丝可都等着这一刻 我feat了那就是我的歌
When I stole the show (ha), sorry if I took forever (haha)
抢走了Forever真是抱歉
[Chorus: Justin Vernon & (Eminem)]
Don't fall on my face (yeah)
不要让我失败
Don't fall on my faith, oh (I won't)
不要失去信念（我不会）
Don't fall on my fate (line 'em up!)
不要失去命运（站好了！）
Don't fall on my faith, oh (ha)
不要失去信念
Don't fall on my fate (it's too easy)
不要失去命运（太容易了）

[Verse 3: Eminem]
Just remember, I was here before you
记住了 我比你早来不知多久
And I'll be here after you make your run-in for you
等你热好身了 我也还会在这
Detractors, I might have to fuck Pitchfork with a corkscrew
我拿瓶起子剁了那些诋毁我的人 比如说Pitchfork
Just what the doctor ordered
正如医生的药方
Revenge is the best medicine
复仇是最佳良药
Increase the dose, from least to most
剂量增加爆表
And then tell the Grammys to go and fuck themselves
让格莱美赶紧滚蛋
They suck the blood from all the biggest artists like some leeches
他们就像水蛭 吸干了那些伟大艺人的血
So they nominate 'em, get 'em there, get a name to MC the show
给艺人提名 到了现场 给他们颁个奖 再看看表演
Every parasite needs a host (haha)
毕竟寄生虫都得主持个宿主
Then give Album of the Year to somebody that no one's ever even heard of
把我的年度最佳专辑奖颁给一个无名之辈
All I know is I wrote every single word of
我敢说 我唱出的每一个字
Everything I ever murdered
都是我亲笔写下
Time to separate the sheep from goats (yeah)
「把他们分别出来 好像牧羊的分别绵羊、山羊一般」
And I got no faith in your writers, I don't believe in ghosts
我对你们那些写手不感兴趣 毕竟我也不怕影子
When rap needed it most, I was that wing and a prayer
说唱最需要我的时候 尽管没准备好我也会成功
A beacon of hope, put a B-I-R-D in the air
我的中指高高在上 如同灯塔为你指明方向
Somewhere some kid is bumpin' this while he lip-syncs in the mirror
总会有孩子放着我的歌 跟唱每一句歌词
That's who I'm doin' it for, the rest I don't really even care
我就是为了他们 其他人我并不在乎
But you would think I'm carryin' a Oxford dictionary in my pocket
但是你要是觉得我词汇量多的像随身带着词典
How I'm buryin' these artists
看看我是怎么屠杀这些艺人
On a scale of 'turnt' you're 'minus'
因为你们程度太低
Mine says 'very', yours says 'hardly'
我准备程度“高” 你们则是“无”
And what's scary is you probably can compare
Me to your car 'cause I'm just barely gettin' started (woo)
你们最怕的可能还是 我就像你们的车 因为我也才刚刚起动（我把你们剁成肉末 而这才刚刚是开始）
And far as Lord Jamar, you better leave me the hell alone
Lord Jamar 你最好还是别怼我的肤色
Or I'll show you an Elvis clone
我就是说唱中的猫王
Walk up in this house you own, thrust my pelvic bone
走进你的房子里 一屁股坐下
Use your telephone and go fetch me the remote
用着你的电话 让你去给我拿遥控器
Put my feet up and just make myself at home
翘起二郎腿 舒服的如同在自己家
I belong here, clown, don't tell me 'bout the culture
我就属于这里 你个智障 别跟我说什么黑人文化
I inspired the Hopsins, the Logics, the Coles, the
Seans, the K-Dots, the 5'9""s, and oh
我激励了许许多多的Hopsin,Logic, J Cole 鼓舞了一代一代的Big Sean 喇嘛 大五舅
Brought the world 50 Cent, you did squat, piss and moan
让全世界认识了50 Cent 你还是找个角落躲好画圈圈吧
But I'm not gonna fall… bitch!
我不会失败…

[Outro: Justin Vernon]
It's too loud
太吵了
Can't hear it coming down the hallway stairs from the parking lot
停车场中的声音拾级而下 也听不清楚
It's too loud
太吵了
Three's not a crowd all up in it
为什么要插足进来？
Slow fire
停火吧Embed"
菲道尔,spotify:artist:6fOqdhRNsMQqtwRwgo3NUv,My菜,spotify:track:0Qw6T2cOILFqqeJPgNfqEH,None
縉 Jin,spotify:artist:6JfXcHzBOntsXu0MojxAXJ,rgb2gray,spotify:track:00cAyJfCZpg4iRGPhkYa90,None
王以太,spotify:artist:3FpGegUfBRYiws8Ww49Y1j,阿司匹林,spotify:track:0pQVtvG3YTqZ1cAvCtvIW4,"Pay Right Now (种瓜得瓜, 种豆得豆) Lyrics[王以太和艾热 “Pay Right Now” 歌词]

[Verse 1: 王以太, 艾热]
(Skrrt)
准备好起跑调整好我力道可不可以麻烦你拿我外套
我和我的Flow在摩拳擦掌脸上挂着一定可以赢的坏笑
就算失去也能重新来过不必刻意也有精准的弹道
就算没有主流的眷顾或者包装的骗术
Livehouse 一样卖爆 (Sold Out)
那些蛇蝎毒蛾和干扰我的毒舌迅速地向我靠近
努力炫耀致命的毒液装成美丽的蝴蝶想疯狂地对我烙印
该怎么形容我的处境骄傲地对自己说命中注定
有多少天使在我头顶
就有多少魔鬼驻扎在附近
就是这么带劲
肚子裤子99个问题正在待命
自己铺的路子自己布置我很固执
但我过得开心
王以太艾热
来了要不要帮你看脉络
你的脸怎么惨白了
别怪我踩你像踩单车
So we go hard
医治各种怪癖
Do my things
不卖身哥们卖艺
你瞅撒
就是这么卖力
Papper talk
快打包你的快递
就是比你爱这个世界
坏怂都逼你坏
所以才视野开阔戏里戏外
别猜错了衰落的都是利己派
爱犯那就干不管你是第几代

[Pre-Chorus: 王以太]
伴奏是上了膛发令枪被打响
不是为了谁的金牌不为谁的嘉奖
赞美是谁给我的谁给我的巴掌
都会变成我的羽毛帮我以后滑翔
一耳朵就知道谁是假冒或伪劣
不止带来和平还要带来毁灭
百分百的专注不管谁还在拦路
像上天借的我会全都为他兑现

[Chorus: All]
怯懦躲进洞里只会看戏的You gon pay right now
虹霞挂起眼睛也无法躲避You gon pay right now
那些散播仇恨散播 Jelouse 的 Hater you pay right now
余光都看不到你一直握紧我的 Paper you pay right now
怯懦躲进洞里只会看戏的 You gon pay right now
虹霞挂起眼睛也无法躲避 You gon pay right now
那些散播仇恨散播 Jelouse 的 Hater you pay right now
余光都看不到你一直握紧我的 Paper you pay right now

[Verse 2:艾热, 王以太]
打给妈妈说 I'm feeling like Jackie Chen
处在尖峰时刻别想阻止肆虐
志趣炽热不止是泄个愤
做一个灵魂刺客发展我的事业
Million Million 早晚干成数字
仇恨数值在攀升你急得快猝死
盗猎抄手看请谁是台柱子
不爱打脸所以 Punch 瞄准肚子
瞄准肚子你会吐在波斯地毯
没鞋穿的舞者跳得肆无忌惮
我的 Move 现在没人信
等到 Judgement Day 看看谁会气短
Keep it real 别被谎言握把柄
想要试探的狐狸把尾巴夹紧
时间宝贵我把相对的差距
拉到爱因斯坦看到都麻痹
[Pre-Chorus]
收拾掉垃圾
Hit song maker 嘴巴随时恭候
Come on 试一试拉锯?
帮你加戏羊嘛狼嘛接着晃
芭比 Kill 帮你拍点花絮
Copy cat 你 Real Rap Suck Ima cut it
无法流行你不会 Popping
胃必治未必治得好拉稀
加点阿司匹林配航维他命

[Chorus: All]
怯懦躲进洞里只会看戏的You gon pay right now
虹霞挂起眼睛也无法躲避You gon pay right now
那些散播仇恨散播 Jelouse 的 Hater you pay right now
余光都看不到你一直握紧我的 Paper you pay right now
怯懦躲进洞里只会看戏的 You gon pay right now
虹霞挂起眼睛也无法躲避 You gon pay right now
那些散播仇恨散播 Jelouse 的 Hater you pay right now
余光都看不到你一直握紧我的 Paper you pay right now

[Outro]
You gon pay You gon pay You gon pay
You gon You gon You gon
You gon pay You gon pay You gon pay
You gon You gon You gonEmbed"
雙子GMN,spotify:artist:1PtCIh0UKzR2b5fSVtVgbZ,鷺沼台三丁目,spotify:track:1Tz7geekh5Iujjp1Yf6TWz,None
Masiwei,spotify:artist:0fyaEHmSmZs2YWMgbruITA,Promise,spotify:track:4mddvcikxuufx1v5CAn6QR,"Promise Lyrics[Intro: Masiwei]
Yeah, yeah
HARIKIRI on the beat, huh
Prince Charming
Look, check this out
Yeah, huh, yeah

[Verse 1: Masiwei]
我不敢对你保证, yeah
玫瑰花她会⼀直盛开
今天晚上⽉亮会不会在
丘⽐特什么时候才会到来, yeah
我不敢对你保证, uh
我能⼀直富有我能⼀直年轻
⼀直拥有魔⼒充满活⼒
不管遇到什么难题我都能够⼀直开⼼, yeah, uh
[Chorus: Masiwei, Masiwei & Jay Park]
There's only one thing
That I can promise you
